19:28:07 [ExchangeTradeItem][kudoshjn][IKBiv] - (Account: test, Name: ElfBuff, Index: 4109, Level: 00, Serial: 00018FEB, Option1: 0, Option2: 1, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 7181, Level: 00, Serial: 00005617, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 7181, Level: 00, Serial: 00014AF5, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 7181, Level: 00, Serial: 000049F6, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 7181, Level: 00, Serial: 0000AB4F, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 7181, Level: 00, Serial: 0000AD39, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 7210, Level: 00, Serial: 00000000, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 7182, Level: 00, Serial: 0000A837, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 7184, Level: 00, Serial: 0000ABA7, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6159, Level: 00, Serial: 0000A836, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6159, Level: 00, Serial: 000058B8, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6159, Level: 00, Serial: 0000548F, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6159, Level: 00, Serial: 0000B21F, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
23:25:27 [ExchangeTradeItem][test1][SumBiv] - (Account: test, Name: ElfBuff, Index: 6159, Level: 00, Serial: 00004F13, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
