20:15:14 [Wing3Mix][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 40, ChaosMoney: 15000000)
20:35:07 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:35:10 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:35:12 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:35:14 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:35:15 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:35:17 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:35:18 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:35:20 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:35:22 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:35:29 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:35:31 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:35:33 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:35:34 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:35:35 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:35:37 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:35:40 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:35:42 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:35:44 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:35:46 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:35:48 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:35:51 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:35:53 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:35:56 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:35:58 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:36:00 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:36:01 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:36:03 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:36:04 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:36:05 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:36:07 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:36:08 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:36:10 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:36:11 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:36:13 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:36:14 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:36:16 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:36:18 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:36:19 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:36:21 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:36:22 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:36:24 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:36:26 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:36:28 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:36:29 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:36:31 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:36:33 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:36:34 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:36:36 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:36:37 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:36:39 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:36:45 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:36:46 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:36:47 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:36:48 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:36:49 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:36:51 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:36:52 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:36:54 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:37:23 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:37:27 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:37:29 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:37:31 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:37:33 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:37:35 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:37:38 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:37:40 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:37:42 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:37:46 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:37:49 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:37:52 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:37:53 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:37:56 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:37:59 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:38:03 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:38:06 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:38:08 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:38:11 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:38:14 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:38:17 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:38:19 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:38:22 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:38:24 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:38:25 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:38:27 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:38:28 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:38:30 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:38:32 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:38:33 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:38:35 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:38:36 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:38:38 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:38:39 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:38:41 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:38:42 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:38:44 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:38:45 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:38:49 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:38:51 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:38:53 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:38:54 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:38:56 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:38:57 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:38:59 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:39:00 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:39:01 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:39:03 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:39:04 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:39:05 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:39:06 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:39:08 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:39:09 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:39:11 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:39:13 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:39:14 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:39:15 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:39:17 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 5000000)
20:39:18 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:39:20 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:39:21 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:39:22 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:39:24 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:39:27 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:39:28 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:39:31 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:39:33 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:39:34 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:39:35 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:39:37 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
